book_name,public_info,rating_num,comment_num
黑暗昭昭,(英)威廉·戈尔丁 / 张和龙 / 译林出版社 / 2009-5 / 26.00,7.4,(96人评价)
身体,哈尼夫·库雷西 / 卢肖慧 / 上海文艺出版社 / 2008年10月 / 21.00元,7.2,(177人评价)
冷记忆2,（法）让•波德里亚 / 张新木  王晶 / 南京大学出版社 / 2009年1月 / 14.00元,8.2,(528人评价)
应用密码学,Bruce Schneier / 吴世忠/等 / 机械工业出版社 / 2000-1-1 / 49.00元,8.9,(159人评价)
魔种,[英]奈保尔 / 吴其尧 / 上海译文出版社 / 2008-1 / 20.00元,7.8,(351人评价)
大进军,E.L.多克托罗、E.L.Doctorow / 邹海仑 / 人民文学出版社 / 2007年9月 / 32.00元,7.4,(120人评价)
太阳舞,[美]詹姆斯·冈恩、郭建中（主编） / 北京大学出版社 / 2008-10 / 47.00元,8.4,(61人评价)
C和C++安全编码,西科德 / 机械工业出版社 / 2010-1 / 45.00元,7.7,(21人评价)
How to Think Like a Scientist,Allen B. Downey / HarperCollins / 1987-3-27 / USD 16.89,7.6,(14人评价)
罗佛兰登,[英] 托尔金 / 龚志成 / 上海译文出版社 / 2006-10 / 22.00元,7.6,(179人评价)
挑战程序设计竞赛,秋叶拓哉、岩田阳一、北川宜稔 / 巫泽俊、庄俊元、李津羽 / 人民邮电出版社 / 2013-7-1 / CNY 79.00,9.1,(156人评价)
文化与社会,[英]雷蒙•威廉斯 / 高晓玲 / 吉林出版集团有限责任公司 / 2011-12 / 36.00元,8.8,(237人评价)
C++编程思想（第1卷）,[美] Bruce Eckel / 刘宗田、袁兆山、潘秋菱 / 机械工业出版社 / 2002-9 / 59.00元,8.3,(670人评价)
政治哲学史（全两册）,列奥·施特劳斯，约瑟夫·克罗波西 / 李天然 / 河北人民出版社 / 1993 / 46.9,8.6,(315人评价)
C++设计新思维,(美)Andrei Alexandrescu / 侯捷、於春景 / 华中科技大学出版社 / 2003-03 / 59.8,8.9,(309人评价)
牧歌,[古罗马] 维吉尔 / 杨宪益 / 上海人民出版社 / 2009 / 24.00,8.7,(327人评价)
从街角数起的第二棵树,"（美）怀特（White,E.B.） / 孙仲旭 / 上海译文出版社 / 2008-8 / 20.00元",7.9,(474人评价)
领事之子,[法]吕西安•博达尔（Lucien Bodard） / 王殿忠 / 上海人民出版社 / 2007-8-1 / 30.00,7.5,(29人评价)
物,(法) 佩雷克 / 龚觅 / 新星出版社 / 2010-2 / 20.00元,8.6,(454人评价)
社会学主要思潮,[法]雷蒙·阿隆 / 葛智强、王沪宁、胡秉诚 / 上海译文出版社 / 2005-7 / 49.00元,8.7,(334人评价)
红火星（全两册）,金•斯坦利•罗宾逊 / 王凌霄 / 华文出版社 / 2008-08 / 48.00元,7.7,(300人评价)
杰夫代特先生,（土耳其）奥尔罕·帕慕克 / 陈竹冰 / 上海人民出版社 / 2009-02-01 / 49.00,7.6,(201人评价)
UNIX网络编程 卷2,W.Richard Stevens / 人民邮电出版社 / 2009-11 / 89.00元,9.5,(133人评价)
灵魂深处的乐思,吕建强 / 生活·读书·新知三联书店 / 2009-6 / 25.00,8.0,(47人评价)
每况愈下,［英国］约翰·韦恩 / 吴宣豪 / 译林出版社 / 2009-2 / 25.00元,7.6,(164人评价)
太阳城,[意]康帕内拉 / 陈大维、黎思复、黎廷弼 / 商务印书馆 / 1960-4 / 13.00元,7.0,(378人评价)
POSIX多线程程序设计,[美] David R.Buten / 中国电力出版社 / 2003-1 / 39.00元,7.6,(87人评价)
中华人民共和国建国史研究1,杨奎松 / 江西人民出版社 / 2009-9 / 52.00元,8.9,(538人评价)
神秘列车,[美] 格雷尔·马库斯 / 姚向辉 / 南京大学出版社 / 2009-9-1 / 28.00元,8.1,(297人评价)
代码优化,（美）Kris Kaspersky / 谭明金 / 电子工业出版社 / 2004-10 / 48.00元,7.7,(65人评价)
自由国度,[英]奈保尔 / 刘新民，施荣根，徐畅 / 上海译文出版社 / 2008-5 / 20.00元,7.7,(440人评价)
遗传算法,王小平 / 西安交通大学出版社 / 2002-1 / 40.00元,7.4,(11人评价)
五四运动与现代中国,丁耘 编 / 上海人民出版社 / 2009-8 / 48.00元,7.3,(13人评价)
中国古代衣食住行,许嘉璐 / 北京出版社 / 2002-1 / 11.00元,8.2,(385人评价)
C++语言的设计和演化,[美] Bjarne Stroustrup / 裘宗燕 / 机械工业出版社 / 2002-1 / 48.00元,8.8,(382人评价)
Windows核心编程,Jeffrey Richter / 机械工业出版社 / 2000-5-1 / 86.00元,8.8,(458人评价)
布赖顿棒糖,[英] 格雷厄姆·格林 / 姚锦清、傅惟慈（校） / 上海译文出版社 / 2008-8 / 39.00,8.0,(476人评价)
奥德修纪,[古希腊] 荷马 / 杨宪益 / 上海译文出版社 / 2008-6 / 16.00元,8.6,(418人评价)
